person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
21,9600,2,5.0,1,B,1000,11.14,0,0.1,0,2
25,9600,0,1.0,3,C,5500,12.87,1,0.57,0,3
23,65500,3,4.0,3,C,35000,15.23,1,0.53,0,2
24,54400,3,8.0,3,C,35000,14.27,1,0.55,1,4
21,9900,2,2.0,5,A,2500,7.14,1,0.25,0,2
26,77100,3,8.0,1,B,35000,12.42,1,0.45,0,3
24,78956,3,5.0,3,B,35000,11.11,1,0.44,0,4
24,83000,3,8.0,4,A,35000,8.9,1,0.42,0,2
21,10000,2,6.0,5,D,1600,14.74,1,0.16,0,3
22,85000,3,6.0,5,B,35000,10.37,1,0.41,0,4
21,10000,2,2.0,2,A,4500,8.63,1,0.45,0,2
23,95000,3,2.0,5,A,35000,7.9,1,0.37,0,2
26,108160,3,4.0,1,E,35000,18.39,1,0.32,0,4
23,115000,3,2.0,1,A,35000,7.9,0,0.3,0,4
23,500000,0,7.0,0,B,30000,10.65,0,0.06,0,3
23,120000,3,0.0,1,A,35000,7.9,0,0.29,0,4
23,92111,3,7.0,3,F,35000,20.25,1,0.32,0,4
23,113000,3,8.0,0,D,35000,18.25,1,0.31,0,4
24,10800,0,8.0,1,B,1750,10.99,1,0.16,0,2
25,162500,3,2.0,5,A,35000,7.49,0,0.22,0,4
25,137000,3,9.0,4,E,34800,16.77,0,0.25,1,2
22,65000,3,4.0,1,D,34000,17.58,1,0.52,0,4
24,10980,2,0.0,4,A,1500,7.29,0,0.14,0,3
22,80000,3,3.0,4,D,33950,14.54,1,0.42,1,4
24,67746,3,8.0,2,C,33000,12.68,1,0.49,0,3
21,11000,0,3.0,5,E,4575,17.74,1,0.42,1,3
23,11000,2,0.0,4,A,1400,9.32,0,0.13,0,3
24,65000,3,6.0,2,B,32500,9.99,1,0.5,0,3
21,11389,1,5.0,1,C,4000,12.84,1,0.35,1,2
21,11520,2,5.0,3,B,2000,11.12,1,0.17,0,3
25,120000,3,2.0,5,A,32000,6.62,0,0.27,0,2
26,95000,3,7.0,2,C,31050,14.17,1,0.33,1,3
